"Date","Type","Category","Subcategory","Vendor","Payment","Currency","Amount","Note","ID"
"28/02/2018","Kátik","Investments","Insurance",,"Cash","CZK","-10375.0","Spoření, pojištění atd za mě a Viky",
"28/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-490.0",,
"28/02/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-68.0",,
"28/02/2018","Kátik","Baby","Care & Medicine",,"Cash","CZK","-900.0","Náušnice",
"25/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-98.0",,
"24/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-130.0",,
"23/02/2018","Kátik","Wellness","Wellness",,"Cash","CZK","-600.0","Rehabilitace",
"23/02/2018","Kátik","Meals","Restaurant",,"Cash","CZK","-414.0",,
"23/02/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-68.0",,
"23/02/2018","Kátik","Household","Furniture & Equipments",,"Cash","CZK","-181.0","Fotoalbum",
"23/02/2018","Kátik","Household","Furniture & Equipments",,"Cash","CZK","-310.0","Fotky",
"23/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-759.0",,
"23/02/2018","Kátik","Household","Supplies",,"Cash","CZK","-58.0",,
"23/02/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-49.0",,
"23/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-123.0",,
"23/02/2018","Kátik","Household","Furniture & Equipments",,"Cash","CZK","-411.0",,
"23/02/2018","Kátik","Household","Healthcare",,"Cash","CZK","-145.0",,
"23/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-160.0",,
"23/02/2018","Kátik","Meals","Snack",,"Cash","CZK","-200.0",,
"23/02/2018","Kátik","Meals","Snack",,"Cash","CZK","-117.0",,
"23/02/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-104.0",,
"23/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-200.0",,
"23/02/2018","Kátik","Baby","Other",,"Cash","CZK","-258.0",,
"23/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-482.0",,
"23/02/2018","Kátik","Baby","Other",,"Cash","CZK","-398.0",,
"23/02/2018","Kátik","Car","Other",,"Cash","CZK","-278.0","Auto potřeby",
"23/02/2018","Kátik","Fashion","Clothes",,"Cash","CZK","-129.0",,
"21/02/2018","Kátik","Meals","Snack",,"Cash","CZK","-55.0",,
"10/02/2018","Kátik","Baby","Other",,"Cash","CZK","-412.0",,
"10/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-75.0",,
"10/02/2018","Kátik","Household","Healthcare",,"Cash","CZK","-300.0","Lešticka zubů",
"10/02/2018","Kátik","Fashion","Clothes",,"Cash","CZK","-200.0",,
"10/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-286.0",,
"10/02/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-57.0",,
"10/02/2018","Kátik","Baby","Other",,"Cash","CZK","-467.0",,
"10/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-115.0",,
"10/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-180.0",,
"01/02/2018","Kátik","Household","Furniture & Equipments",,"Cash","CZK","-150.0",,
"01/02/2018","Kátik","Personal","Gifts",,"Cash","CZK","-360.0",,
"01/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-340.0",,
"01/02/2018","Kátik","Fashion","Clothes",,"Cash","CZK","-200.0",,
"01/02/2018","Kátik","Baby","Other",,"Cash","CZK","-210.0",,
"01/02/2018","Kátik","Household","Groceries",,"Cash","CZK","-2.0",,
"01/02/2018","Kátik","Baby","Other",,"Cash","CZK","-282.0",,
"01/02/2018","Kátik","Personal","Education",,"Cash","CZK","-500.0","ČSK PŘÍSPĚVEK",
"30/01/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-68.0",,
"30/01/2018","Kátik","Household","Groceries",,"Cash","CZK","-166.0",,
"30/01/2018","Kátik","Meals","Sweet & Salty",,"Cash","CZK","-32.0",,
"30/01/2018","Kátik","Baby","Other",,"Cash","CZK","-119.0",,
"30/01/2018","Kátik","Household","Groceries",,"Cash","CZK","-207.0",,
"30/01/2018","Kátik","Meals","Snack",,"Cash","CZK","-147.0",,
"30/01/2018","Kátik","Household","Groceries",,"Cash","CZK","-336.0",,
"30/01/2018","Kátik","Household","Groceries",,"Cash","CZK","-766.0",,
"30/01/2018","Kátik","Fashion","Clothes",,"Cash","CZK","-180.0",,
